CNPJ,preco,cliente,UF,cidade,bairro
6267972000204,1983.75,KARAPITO DA BEIRA COMERCIO DE ALIMENTOS LTDA,RJ,RIO DE JANEIRO,IRAJA
23529918000128,1987.5999999999997,COMERCIAL DE ALIMENTOS CANAL EIRELI - ME,ES,VILA VELHA,IBES
17010487000196,2000.0,GNC INOX,SP,SAO JOSE DO RIO PRETO,M I CENTENARIO DA EMANCIPACAO
3394949000292,2008.3699999999992,NOE G DE SOUZA..,RJ,ITAOCARA,CENTRO
36305837000196,2011.2000000000005,SUPERMERCADO CELEIRO LTDA,ES,SAO MATEUS,SANTO ANTONIO
19394731000197,2057.8899999999994,JOSIVAN S DA SILVA PRODUTO ALIMENTICIOS ME.,RJ,CABO FRIO,PERO
10578244000533,2059.5899999999992,GP INDUSTRIA  SERVICOS E COMERCIO DE ALIMENTOS LTDA,RJ,SAO GONCALO,ALCANTARA
18459162000158,2077.71,LUAR SUPERMERCADO COMERCIO DE ALIMENTOS LTDA ME,RJ,CABO FRIO,AQUARIUS
15514541000105,2081.1599999999994,MERCADO RELUZ LTDA ME - ME,RJ,SAO JOAO DA BARRA,GRUSSAI
10607920000126,2095.8799999999997,SUPERMERCADO ECONOMIA LTDA.,ES,NOVA VENECIA,FILOMENA
28295152000188,2103.4600000000005,ACOUGUE CABISTA LTDA,RJ,ARRAIAL DO CABO,CENTRO
10258474000272,2113.0499999999993,SUPERMERCADO IDEAL DE SAO PEDRO LTDA ME,RJ,SAO PEDRO DA ALDEIA,CAMPO REDONDO
5146190000173,2119.919999999999,MINI MERCADO UBAPORANGA DE SAO CRISTOVAO LTDA ME,RJ,RIO DE JANEIRO,SAO CRISTOVAO
39790191000259,2121.2400000000002,AUTO SERVICO COSTA PEREIRA LTDA,ES,CARIACICA,CAMPO GRANDE
66212721000173,2122.57,ESCOBAR GOMES DE SOUZA FILHO,MG,MURIAE,BARRA
12703414000166,2127.8699999999994,DRIELLI GONCALVES PEREIRA - ME,ES,VITORIA,ROMAO
10293889000104,2129.6400000000003,SUPERMERCADO MOLINAROLI LTDA - ME,ES,CACHOEIRO DE ITAPEMIRIM,BASILEIA
17906565000135,2141.05,CLEONICE MARQUES COSTA MERCEARIA E LANCHONETE LTDA - ME,RJ,NOVA IGUACU,PARAISO
20818209000174,2193.3800000000006,SUPERMERCADO VANIA LTDA - EPP,MG,RESPLENDOR,SAO VICENTE
11032392000197,2221.64,LGE COMERCIO DE GENEROS ALIMENTICIOS LTDA EPP.,RJ,NITEROI,SAO FRANCISCO
23974342000108,2240.6199999999985,FELIX MERCADO EIRELI,RJ,MANGARATIBA,CONCEICAO DE JACAREI
12365033000114,2250.0,C.K.MAYER IMPORTACAO,RJ,ARMACAO DOS BUZIOS,CENTRO
1442299000105,2254.95,COMERCIAL DEJE LTDA - EPP.,ES,SANTA TERESA,CENTRO
26425468000200,2265.1099999999983,MGF ATACAREJO LTDA.,RJ,RIO BONITO,CENTRO
9134912000120,2269.3399999999992,SUPERMERCADO TRIUNFO DE MAGE EIRELI ME,RJ,MAGE,JARDIM SURUI
22666196000190,2281.55,MERCADO SANTIAGO EIRELI.,RJ,MAGE,GANDE
39818919000122,2304.04,BETTIN E BOA LTDA EPP.,ES,NOVA VENECIA,CENTRO
27828533000112,2305.7899999999995,WOXITON LUIZ M. SIMOES EIRELI-ME,RJ,ITAPERUNA,AEROPORTO
26421190000295,2305.9799999999987,LMP ATACAREJO - EIRELI.,RJ,MARICA,INOA
28514600000197,2306.73,A M C FELIX COMERCIO DE GENEROS ALIMENTICIOS - ME,RJ,ARARUAMA,CENTRO
18404652000157,2313.1999999999994,MOURA E MORAIS COMERCIO DE ALIMENTOS LTDA,RJ,ITABORAI,CENTRO
26421190000104,2316.8199999999983,LMP ATACAREJO - EIRELI.,RJ,SAO GONCALO,RIO DO OURO
74048224000100,2319.109999999999,MERCADO NERIAH LTDA - ME,RJ,DUQUE DE CAXIAS,VILA MARIA HELENA
28917877000160,2352.2900000000004,A C H CORRAL - MERCEARIA,RJ,NOVA FRIBURGO,SALINAS
31759699000606,2353.2400000000007,COMERCIAL DEVENS LTDA.,ES,IBIRACU,CENTRO
3394949000101,2371.3600000000006,NOE G DE SOUZA,RJ,ITAOCARA,LARANJAIS
19966010000104,2385.519999999999,JD EIRA COMERCIO E TRANSPORTE LTDA.,RJ,MANGARATIBA,EL RANCHITO
24793400000240,2386.1400000000003,VAREJO TOTAL COMERCIO DE GENEROS ALIMENTICIOS LTDA,RJ,SAO PEDRO DA ALDEIA,CENTRO
13326451000165,2446.2099999999996,NOVO MERCADO CANTELMO 2012 LTDA,RJ,ITABORAI,AMPLIACAO
7233035000110,2464.8199999999997,MARIA JOSIMARA BROETTO NUNES - EPP.,ES,FUNDAO,CENTRO
12024521000249,2467.3999999999996,SUPERMERCADO MASTER 2010 LTDA,RJ,NITEROI,FONSECA
20811236000115,2481.2700000000004,MERCADO MEGA MARKET DO RIO EIRELI - EPP,RJ,RIO DE JANEIRO,COSMOS
9483509000107,2564.839999999999,GRAN MIX MERCEARIA LTDA ME,RJ,NITEROI,BARRETO
